z;x;y
-40;718,95;1444,85
-35;672,75;1374,85
-30;619,1;1434,2
-25;569,05;1325,1
-20;536,45;1220,7
-15;476,05;1124,8
-10;443,9;1101,45
-5;413,4;1026,7
0;387;973,7
5;336,25;885
10;301,65;860,7
15;267,85;840,15
20;243,6;777,95
25;220,1;736,25
30;201,35;677,65
35;208,6;666,7
40;216,45;605
45;225,45;527,3
50;249,65;448,05
55;267,7;388,55
60;292;330,15
65;308;269,35
70;324,85;201,35
75;348,25;142,85
80;379,45;108,4
85;418;99,35
90;447,7;133,6
95;497,35;193,25
100;536,4;266,55
105;576,7;336,3
110;605,35;412,35
115;633,25;481,85
120;676,9;549,75
125;711,2;606,45
130;721,4;672,15
135;789,1;734,4
140;805,8;785,9
145;828,6;850,15
